applicant_id,english,chinese,social,total
1,12,11,12,35
2,10,10,11,31
3,13,10,9,32
4,12,8,9,29
5,7,11,7,25
6,15,8,12,35
7,12,11,8,31
8,12,12,10,34
9,8,7,12,27
10,10,10,14,34
11,10,7,11,28
12,14,9,9,32
13,11,12,10,33
14,13,8,7,28
15,10,10,11,31
16,9,7,9,25
17,11,8,14,33
18,7,8,6,21
19,13,8,10,31
20,11,11,12,34
21,12,11,6,29
22,10,5,12,27
23,15,7,9,31
24,13,12,12,37
25,12,12,5,29
26,8,12,7,27
27,10,11,11,32
28,6,11,9,26
29,8,9,11,28
30,12,7,9,28
31,12,10,10,32
32,14,15,11,40
33,9,12,9,30
34,10,7,11,28
35,10,11,11,32
36,8,11,12,31
37,8,7,14,29
38,10,11,14,35
39,9,7,9,25
40,11,15,9,35
41,10,10,10,30
42,13,8,12,33
43,12,8,10,30
44,9,11,11,31
45,13,8,12,33
46,12,14,11,37
47,10,8,11,29
48,9,10,10,29
49,12,7,8,27
50,8,8,12,28
51,8,12,11,31
52,4,13,11,28
53,12,12,11,35
54,11,14,6,31
55,12,8,12,32
56,12,12,8,32
57,10,11,9,30
58,11,9,10,30
59,8,8,12,28
60,7,14,12,33
61,11,14,12,37
62,10,11,12,33
63,11,9,9,29
64,12,11,9,32
65,11,11,13,35
66,11,8,13,32
67,11,9,8,28
68,9,11,8,28
69,6,8,14,28
70,10,10,10,30
71,8,15,13,36
72,10,9,10,29
73,13,10,7,30
74,9,7,14,30
75,7,6,14,27
76,9,10,8,27
77,9,10,12,31
78,11,13,12,36
79,11,9,7,27
80,12,12,9,33
81,11,13,14,38
82,10,9,10,29
83,13,7,5,25
84,8,10,9,27
85,6,5,11,22
86,7,10,12,29
87,12,9,11,32
88,10,11,10,31
89,8,10,7,25
90,10,13,11,34
91,8,9,10,27
92,12,8,9,29
93,10,10,12,32
94,10,8,9,27
95,9,11,6,26
96,11,11,12,34
97,10,7,5,22
98,7,10,10,27
99,8,5,14,27
100,14,13,8,35
101,14,6,9,29
102,12,8,10,30
103,9,9,11,29
104,15,6,10,31
105,12,12,6,30
106,12,9,9,30
107,10,10,13,33
108,9,9,13,31
109,7,11,9,27
110,13,14,7,34
111,10,11,8,29
112,8,12,12,32
113,9,11,9,29
114,11,9,13,33
115,8,10,14,32
116,13,10,9,32
