english,chinese,social,total,count
15,15,15,60,12
15,14,14,58,15
15,14,13,57,10
15,13,14,57,8
15,15,14,59,18
15,13,12,55,6
15,12,14,56,8
15,15,13,58,10
15,14,15,59,5
15,11,14,55,4
15,13,15,58,3
15,14,12,56,5
15,11,13,54,3
15,12,12,54,3
15,13,13,56,4
15,11,15,56,2
15,15,12,57,3
14,15,14,58,12
14,14,13,56,15
14,13,12,54,10
14,12,13,54,8
14,14,14,57,8
14,15,13,57,7
14,13,14,56,9
14,11,12,51,5
14,12,14,55,6
14,15,12,56,6
14,14,12,55,7
14,11,14,54,4
14,13,13,55,6
14,11,13,53,5
14,12,12,53,5
14,15,15,59,4
13,14,13,55,8
13,13,12,53,10
13,12,11,50,8
13,11,12,50,7
13,14,14,56,5
13,13,13,54,7
13,12,13,53,6
13,14,12,54,6
13,11,11,49,5
13,13,11,51,8
13,12,12,51,5
13,11,10,48,6
13,12,10,49,4
13,11,13,51,4
12,13,12,51,6
12,12,11,49,8
12,11,11,48,7
12,10,11,47,6
12,12,12,50,7
12,13,11,50,6
12,11,12,49,5
12,12,10,48,5
12,10,12,48,3
12,13,13,52,2
12,14,12,53,2
12,11,10,47,4
12,10,10,46,3
12,14,13,54,2
11,12,11,47,3
11,10,10,43,10
11,11,10,44,5
11,10,11,44,4
11,10,9,42,5
11,12,10,46,3
11,11,11,46,2
10,10,10,42,10
10,11,10,43,5
10,9,10,41,5
10,10,9,41,4
10,11,9,42,3
10,9,9,40,4
10,9,8,39,2
