english,chinese,history,total,count
15,15,15,45,1
15,15,14,44,3
15,15,13,43,5
15,15,12,42,8
15,15,11,41,9
15,15,10,40,9
15,15,9,39,8
15,15,8,38,6
15,15,7,37,4
15,15,6,36,3
15,15,5,35,2
15,15,4,34,1
15,14,15,44,3
15,14,14,43,6
15,14,13,42,11
15,14,12,41,18
15,14,11,40,20
15,14,10,39,22
15,14,9,38,18
15,14,8,37,14
15,14,7,36,10
15,14,6,35,6
15,14,5,34,5
15,14,4,33,2
15,14,3,32,1
15,13,15,43,5
15,13,14,42,12
15,13,13,41,22
15,13,12,40,35
15,13,11,39,40
15,13,10,38,43
15,13,9,37,37
15,13,8,36,28
15,13,7,35,21
15,13,6,34,12
15,13,5,33,10
15,13,4,32,5
15,13,3,31,1
15,12,15,42,8
15,12,14,41,18
15,12,13,40,32
15,12,12,39,52
15,12,11,38,58
15,12,10,37,64
15,12,9,36,54
15,12,8,35,41
15,12,7,34,30
15,12,6,33,18
15,12,5,32,14
15,12,4,31,7
15,12,3,30,2
15,11,15,41,9
15,11,14,40,21
15,11,13,39,38
15,11,12,38,61
15,11,11,37,69
15,11,10,36,76
15,11,9,35,64
15,11,8,34,48
15,11,7,33,36
15,11,6,32,22
15,11,5,31,17
15,11,4,30,8
15,11,3,29,2
15,10,15,40,8
15,10,14,39,20
15,10,13,38,36
15,10,12,37,58
15,10,11,36,65
15,10,10,35,71
15,10,9,34,60
15,10,8,33,45
15,10,7,32,34
15,10,6,31,20
15,10,5,30,16
15,10,4,29,8
15,10,3,28,2
15,9,15,39,7
15,9,14,38,16
15,9,13,37,29
15,9,12,36,46
15,9,11,35,52
15,9,10,34,57
15,9,9,33,48
15,9,8,32,36
15,9,7,31,27
15,9,6,30,16
15,9,5,29,13
15,9,4,28,6
15,9,3,27,2
15,8,15,38,5
15,8,14,37,11
15,8,13,36,19
15,8,12,35,31
15,8,11,34,35
15,8,10,33,38
15,8,9,32,32
15,8,8,31,25
15,8,7,30,18
15,8,6,29,11
15,8,5,28,8
15,8,4,27,4
15,8,3,26,1
15,7,15,37,3
15,7,14,36,6
15,7,13,35,12
15,7,12,34,18
15,7,11,33,21
15,7,10,32,23
15,7,9,31,19
15,7,8,30,15
15,7,7,29,11
15,7,6,28,7
15,7,5,27,5
15,7,4,26,2
15,7,3,25,1
15,6,15,36,2
15,6,14,35,4
15,6,13,34,7
15,6,12,33,10
15,6,11,32,12
15,6,10,31,13
15,6,9,30,11
15,6,8,29,8
15,6,7,28,6
15,6,6,27,4
15,6,5,26,3
15,6,4,25,1
15,5,15,35,1
15,5,14,34,2
15,5,13,33,4
15,5,12,32,6
15,5,11,31,7
15,5,10,30,8
15,5,9,29,6
15,5,8,28,5
15,5,7,27,4
15,5,6,26,2
15,5,5,25,2
15,5,4,24,1
15,4,15,34,1
15,4,14,33,1
15,4,13,32,2
15,4,12,31,4
15,4,11,30,4
15,4,10,29,4
15,4,9,28,4
15,4,8,27,3
15,4,7,26,2
15,4,6,25,1
15,4,5,24,1
15,3,14,32,1
15,3,13,31,2
15,3,12,30,3
15,3,11,29,3
15,3,10,28,3
15,3,9,27,3
15,3,8,26,2
15,3,7,25,2
15,3,6,24,1
15,3,5,23,1
15,2,14,31,1
15,2,13,30,1
15,2,12,29,2
15,2,11,28,2
15,2,10,27,2
15,2,9,26,2
15,2,8,25,1
15,2,7,24,1
15,2,6,23,1
14,15,15,44,2
14,15,14,43,5
14,15,13,42,9
14,15,12,41,15
14,15,11,40,17
14,15,10,39,19
14,15,9,38,16
14,15,8,37,12
14,15,7,36,9
14,15,6,35,5
14,15,5,34,4
14,15,4,33,2
14,15,3,32,1
14,14,15,43,5
14,14,14,42,12
14,14,13,41,22
14,14,12,40,35
14,14,11,39,39
14,14,10,38,43
14,14,9,37,36
14,14,8,36,28
14,14,7,35,20
14,14,6,34,12
14,14,5,33,10
14,14,4,32,5
14,14,3,31,1
14,13,15,42,10
14,13,14,41,24
14,13,13,40,44
14,13,12,39,70
14,13,11,38,78
14,13,10,37,86
14,13,9,36,73
14,13,8,35,55
14,13,7,34,41
14,13,6,33,25
14,13,5,32,19
14,13,4,31,9
14,13,3,30,2
14,12,15,41,15
14,12,14,40,36
14,12,13,39,64
14,12,12,38,102
14,12,11,37,116
14,12,10,36,127
14,12,9,35,107
14,12,8,34,81
14,12,7,33,60
14,12,6,32,36
14,12,5,31,28
14,12,4,30,14
14,12,3,29,3
14,11,15,40,18
14,11,14,39,42
14,11,13,38,76
14,11,12,37,121
14,11,11,36,136
14,11,10,35,150
14,11,9,34,126
14,11,8,33,96
14,11,7,32,71
14,11,6,31,43
14,11,5,30,33
14,11,4,29,16
14,11,3,28,4
14,10,15,39,17
14,10,14,38,40
14,10,13,37,72
14,10,12,36,114
14,10,11,35,129
14,10,10,34,142
14,10,9,33,119
14,10,8,32,90
14,10,7,31,67
14,10,6,30,41
14,10,5,29,31
14,10,4,28,15
14,10,3,27,4
14,9,15,38,13
14,9,14,37,32
14,9,13,36,57
14,9,12,35,91
14,9,11,34,103
14,9,10,33,113
14,9,9,32,95
14,9,8,31,72
14,9,7,30,53
14,9,6,29,32
14,9,5,28,25
14,9,4,27,12
14,9,3,26,3
14,8,15,37,9
14,8,14,36,22
14,8,13,35,39
14,8,12,34,62
14,8,11,33,69
14,8,10,32,76
14,8,9,31,64
14,8,8,30,49
14,8,7,29,36
14,8,6,28,22
14,8,5,27,17
14,8,4,26,8
14,8,3,25,2
14,7,15,36,5
14,7,14,35,13
14,7,13,34,23
14,7,12,33,37
14,7,11,32,41
14,7,10,31,45
14,7,9,30,38
14,7,8,29,29
14,7,7,28,21
14,7,6,27,13
14,7,5,26,10
14,7,4,25,5
14,7,3,24,1
14,6,15,35,3
